Date,waterLevel
2010-10,1630.9101142068967
2010-11,1630.231053827586
2010-12,1629.940720137931
2011-01,1629.6875799655172
2011-03,1629.3559570689656
2011-04,1628.4613626206897
2011-05,1628.6283463793104
2011-06,1627.1142157931033
2011-07,1626.964835275862
2011-08,1626.459272724138
2011-10,1625.2570526896552
2011-11,1623.8050412413793
2011-12,1623.3098860344828
2012-01,1622.716641275862
2012-03,1621.3816991551723
2012-04,1620.7046614482758
2012-05,1619.0351854827586
2012-06,1618.8904566551723
2012-07,1618.5166352413794
2012-08,1618.2366690689655
2012-09,1617.8908649655173
2012-10,1616.525668551724
2012-11,1615.424173310345
2012-12,1614.714536551724
2013-01,1614.0215475172415
2013-03,1612.7833188965517
2013-05,1611.434180948276
2013-06,1610.475821689655
2013-07,1610.176210586207
2013-08,1609.9656772413794
2013-09,1609.8059334827585
2013-10,1608.5274701034482
2013-11,1607.6948158275864
2013-12,1607.1744973793104
2014-01,1606.7699100344828
2014-03,1605.6865149999999
2014-05,1604.5558892931033
2014-06,1603.7469566206898
2014-07,1603.5196785517242
2014-08,1603.4279659655172
2014-09,1603.2760388965517
2014-10,1602.072274034483
2014-11,1601.1438157586208
2014-12,1600.767447724138
2015-01,1600.2822560689656
2015-03,1599.3764058965517
2015-05,1598.3444845517242
2015-06,1597.5754478965516
2015-07,1597.4059174827587
2015-08,1597.321604724138
2015-09,1597.2310369655172
2015-10,1596.1167328965516
2015-11,1595.1757896206896
2015-12,1594.8226360344827
2016-01,1594.403354
2016-02,1593.9556169655173
2016-03,1592.9925284137933
2016-04,1593.220471586207
2016-05,1591.7770195517242
2016-06,1591.7763755517242
2016-07,1591.6586577586206
2016-08,1591.7373005172415
2016-09,1591.7152899655173
2016-10,1590.7551184827587
2016-11,1589.8310378965518
2016-12,1589.546980310345
2017-01,1589.093026
2017-02,1588.653396
2017-03,1587.7538557586206
2017-04,1588.0118662068967
2017-05,1586.5968439310343
2017-06,1586.6281780689656
2017-07,1586.5387889310346
2017-08,1586.5435538620688
2017-09,1586.5535551724138
2017-10,1585.682831862069
2017-11,1584.8715189310344
2017-12,1584.5454312413792
2018-01,1584.1151459999999
2018-02,1583.700586862069
2018-03,1582.7872862413792
2018-04,1583.0615444482758
2018-05,1581.6658177931035
2018-06,1581.7221174827587
2018-07,1581.6629722413795
2018-08,1581.6975433448274
2018-09,1581.017140413793
2018-10,1580.4283195172413
2018-11,1579.3668506551724
2018-12,1579.3660088965519
2019-01,1577.7478363793102
2019-02,1577.5521493103447
2019-03,1577.2396366551723
2019-04,1577.0130277586209
2019-05,1576.7986345862068
2019-06,1575.430714413793
2019-07,1574.2477269655171
2019-08,1573.4903564482759
2019-09,1572.7644506551726
2019-10,1572.1128603793104
2019-11,1571.3888192068966
2019-12,1571.6927910689656
2020-01,1570.220673689655
2020-02,1570.0514168965515
2020-03,1569.767523413793
2020-04,1569.5753342068967
2020-05,1569.4129763448275
2020-06,1568.1846586896552
2020-07,1567.0470476206897
2020-08,1566.3449580689655
2020-09,1565.6147671724136
2020-10,1564.9271535172415
2020-11,1563.7849542413794
2020-12,1563.7865621724138
